Détail du scoring optimisé,,,,,,,,,,,,,,,,,,,,,,,
"Une ligne par marque x marketplace. Les marketplaces déjà présents ne sont pas éligibles aux 2 recommandations finales, mais leur score est conservé pour audit.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Marque,Nom dans scoring initial,Pays,Catégorie optimisée,Marketplace,Déjà présent ?,Score optimisé,Priorité,Score initial,Fit catégorie,Fit géographique,Échelle commerciale,Readiness ops/wholesale,Fit positionnement,Incrémentalité,Story/durabilité,Pénalité risque,Score modèle brut,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable,Positionnement,Notes data
Adam Lippes,Adam Lippes,USA,Womenswear RTW,John Lewis,Non,"81,5",P1 — Fort potentiel,"90,0","26,0","9,0","12,0","10,0","12,0","4,5","2,0","0,0","80,5","3,0",27,High,FALSE,luxury_premium,OK
Adam Lippes,Adam Lippes,USA,Womenswear RTW,Galeries Lafayette,Non,"76,7",P2 — Recommandé,"77,0","30,0","8,0","10,7","10,0","12,0","5,0","2,0","-6,0","76,7","3,0",27,High,FALSE,luxury_premium,OK
Adam Lippes,Adam Lippes,USA,Womenswear RTW,La Redoute,Non,"74,8",P2 — Recommandé,"95,0","27,0","8,0","12,5","10,0","8,0","5,0","2,0","-5,0","72,5","3,0",27,High,FALSE,luxury_premium,OK
Adam Lippes,Adam Lippes,USA,Womenswear RTW,Debenhams,Non,"74,8",P2 — Recommandé,"95,0","28,0","10,0","12,5","10,0","8,0","4,0","2,0","-7,0","72,5","3,0",27,High,FALSE,luxury_premium,OK
Aimé Leon Dore,Aimé Leon Dore,USA,Footwear,Nordstrom,Oui,"88,9",P1 — Fort potentiel,,"30,0","12,0","13,9","10,0","11,0","5,0","2,0","0,0","88,9","30,0",11,Medium,FALSE,luxury_premium,OK
Aimé Leon Dore,Aimé Leon Dore,USA,Footwear,John Lewis,Non,"88,7",P1 — Fort potentiel,"92,0","29,0","9,0","13,8","11,0","12,0","6,5","2,0","0,0","88,3","30,0",11,Medium,FALSE,luxury_premium,OK
Aimé Leon Dore,Aimé Leon Dore,USA,Footwear,Bloomingdale's,Non,"85,5",P1 — Fort potentiel,"92,0","25,0","12,0","13,8","10,0","12,0","5,0","2,0","0,0","84,8","30,0",11,Medium,FALSE,luxury_premium,OK
Aimé Leon Dore,Aimé Leon Dore,USA,Footwear,Galeries Lafayette,Non,"85,2",P1 — Fort potentiel,"87,0","30,0","8,0","13,0","10,0","12,0","7,0","2,0","-2,0","85,0","30,0",11,Medium,FALSE,luxury_premium,OK
Aimé Leon Dore,Aimé Leon Dore,USA,Footwear,La Redoute,Non,"82,5",P1 — Fort potentiel,"65,0","30,0","8,0","14,4","11,0","9,0","7,0","2,0","-2,0","84,4","30,0",11,Medium,FALSE,luxury_premium,OK
Aimé Leon Dore,Aimé Leon Dore,USA,Footwear,Debenhams,Non,"81,9",P1 — Fort potentiel,"95,0","27,0","10,0","14,4","11,0","8,0","6,0","2,0","-3,0","80,4","30,0",11,Medium,FALSE,luxury_premium,OK
Alessandra Rich,Alessandra Rich,Italy,Womenswear RTW,Nordstrom,Non,"82,3",P1 — Fort potentiel,"87,0","27,0","11,0","10,8","11,0","11,0","5,0","1,0","0,0","81,8","2,0",10,High,FALSE,luxury_premium,OK
Alessandra Rich,Alessandra Rich,Italy,Womenswear RTW,Bloomingdale's,Oui,"80,2",P1 — Fort potentiel,,"28,0","11,0","10,2","11,0","12,0","5,0","1,0","-3,0","80,2","2,0",10,High,FALSE,luxury_premium,OK
Alessandra Rich,Alessandra Rich,Italy,Womenswear RTW,John Lewis,Oui,"75,7",P2 — Recommandé,,"25,0","11,0","10,2","11,0","11,0","4,5","1,0","-3,0","75,7","2,0",10,High,FALSE,luxury_premium,OK
Alessandra Rich,Alessandra Rich,Italy,Womenswear RTW,Galeries Lafayette,Non,"72,9",P2 — Recommandé,"72,0","30,0","12,0","7,0","11,0","12,0","3,0","1,0","-8,0","73,0","2,0",10,High,FALSE,luxury_premium,OK
Alessandra Rich,Alessandra Rich,Italy,Womenswear RTW,La Redoute,Non,"71,9",P2 — Recommandé,"60,0","27,0","12,0","11,2","11,0","8,0","3,0","1,0","-5,0","73,2","2,0",10,High,FALSE,luxury_premium,OK
Alessandra Rich,Alessandra Rich,Italy,Womenswear RTW,Debenhams,Non,"71,0",P2 — Recommandé,"60,0","28,0","11,0","11,2","11,0","8,0","4,0","1,0","-7,0","72,2","2,0",10,High,FALSE,luxury_premium,OK
Alix of Bohemia,Alix of Bohemia,USA,Womenswear RTW,Nordstrom,Non,"85,2",P1 — Fort potentiel,"82,0","27,0","12,0","11,5","10,0","12,0","5,0","5,0","-2,0","85,5","5,0",5,Medium,TRUE,premium_contemporary,OK
Alix of Bohemia,Alix of Bohemia,USA,Womenswear RTW,Debenhams,Non,"84,5",P1 — Fort potentiel,"62,0","28,0","10,0","12,0","11,0","12,0","6,0","3,0","0,0","87,0","5,0",5,Medium,TRUE,premium_contemporary,OK
Alix of Bohemia,Alix of Bohemia,USA,Womenswear RTW,La Redoute,Non,"83,6",P1 — Fort potentiel,"62,0","27,0","8,0","12,0","11,0","11,0","7,0","5,0","0,0","86,0","5,0",5,Medium,TRUE,premium_contemporary,OK
Alix of Bohemia,Alix of Bohemia,USA,Womenswear RTW,Bloomingdale's,Non,"81,7",P1 — Fort potentiel,"82,0","28,0","12,0","10,7","10,0","10,0","5,0","3,0","-2,0","81,7","5,0",5,Medium,TRUE,premium_contemporary,OK
Alix of Bohemia,Alix of Bohemia,USA,Womenswear RTW,John Lewis,Non,"81,3",P1 — Fort potentiel,"82,0","25,0","9,0","10,7","11,0","11,0","6,5","5,0","-2,0","81,2","5,0",5,Medium,TRUE,premium_contemporary,OK
Alix of Bohemia,Alix of Bohemia,USA,Womenswear RTW,Galeries Lafayette,Non,"73,4",P2 — Recommandé,"72,0","30,0","8,0","8,0","10,0","9,0","7,0","3,5","-7,0","73,5","5,0",5,Medium,TRUE,premium_contemporary,OK
Altuzarra,Altuzarra,USA,Womenswear RTW,Bloomingdale's,Oui,"84,0",P1 — Fort potentiel,,"28,0","12,0","13,0","10,0","12,0","3,0","1,0","0,0","84,0","6,0",30,High,FALSE,luxury_premium,OK
Altuzarra,Altuzarra,USA,Womenswear RTW,Nordstrom,Oui,"83,0",P1 — Fort potentiel,,"27,0","12,0","14,0","10,0","11,0","3,0","1,0","0,0","83,0","6,0",30,High,FALSE,luxury_premium,OK
Altuzarra,Altuzarra,USA,Womenswear RTW,Galeries Lafayette,Non,"81,9",P1 — Fort potentiel,"77,0","30,0","8,0","11,4","10,0","12,0","5,0","1,0","0,0","82,4","6,0",30,High,FALSE,luxury_premium,OK
Altuzarra,Altuzarra,USA,Womenswear RTW,John Lewis,Non,"80,5",P1 — Fort potentiel,"90,0","26,0","9,0","13,0","10,0","11,0","4,5","1,0","0,0","79,5","6,0",30,High,FALSE,luxury_premium,OK
Altuzarra,Altuzarra,USA,Womenswear RTW,La Redoute,Non,"72,2",P2 — Recommandé,"65,0","27,0","8,0","14,0","10,0","8,0","5,0","1,0","-5,0","73,0","6,0",30,High,FALSE,luxury_premium,OK
Altuzarra,Altuzarra,USA,Womenswear RTW,Debenhams,Non,"72,2",P2 — Recommandé,"65,0","28,0","10,0","14,0","10,0","8,0","4,0","1,0","-7,0","73,0","6,0",30,High,FALSE,luxury_premium,OK
Amanu Studio,Amanu Studio,USA,Footwear,Nordstrom,Non,"83,9",P1 — Fort potentiel,"87,0","30,0","12,0","8,5","11,0","11,0","5,0","5,0","-4,0","83,5","2,0",2,High,TRUE,luxury_premium,OK
Amanu Studio,Amanu Studio,USA,Footwear,John Lewis,Non,"78,8",P2 — Recommandé,"72,0","29,0","9,0","8,0","12,0","12,0","6,5","5,0","-7,0","79,5","2,0",2,High,TRUE,luxury_premium,OK
Amanu Studio,Amanu Studio,USA,Footwear,Bloomingdale's,Non,"76,5",P2 — Recommandé,"72,0","28,0","12,0","8,0","11,0","12,0","5,0","3,0","-7,0","77,0","2,0",2,High,TRUE,luxury_premium,OK
Amanu Studio,Amanu Studio,USA,Footwear,Galeries Lafayette,Non,"69,3",P3 — Test / à cadrer,"72,0","30,0","8,0","5,5","11,0","12,0","7,0","3,5","-13,0","69,0","2,0",2,High,TRUE,luxury_premium,OK
Amanu Studio,Amanu Studio,USA,Footwear,Debenhams,Non,"67,3",P3 — Test / à cadrer,"57,0","27,0","10,0","8,5","12,0","8,0","6,0","3,0","-11,0","68,5","2,0",2,High,TRUE,luxury_premium,OK
Amanu Studio,Amanu Studio,USA,Footwear,La Redoute,Non,"66,5",P3 — Test / à cadrer,"57,0","23,0","8,0","8,5","12,0","8,0","7,0","5,0","-9,0","67,5","2,0",2,High,TRUE,luxury_premium,OK
Ancient Greek Sandals,Ancient Greek Sandals,Greece,Footwear,Nordstrom,Oui,"83,5",P1 — Fort potentiel,,"30,0","9,0","13,5","9,0","11,0","4,0","2,0","0,0","83,5","5,0",30,Medium,FALSE,luxury_premium,OK
Ancient Greek Sandals,Ancient Greek Sandals,Greece,Footwear,John Lewis,Oui,"83,2",P1 — Fort potentiel,,"29,0","9,0","12,7","10,0","12,0","3,5","2,0","0,0","83,2","5,0",30,Medium,FALSE,luxury_premium,OK
Ancient Greek Sandals,Ancient Greek Sandals,Greece,Footwear,Bloomingdale's,Oui,"80,7",P1 — Fort potentiel,,"28,0","8,0","12,7","9,0","12,0","4,0","2,0","0,0","80,7","5,0",30,Medium,FALSE,luxury_premium,OK
Ancient Greek Sandals,Ancient Greek Sandals,Greece,Footwear,Galeries Lafayette,Oui,"78,9",P2 — Recommandé,,"30,0","11,0","10,9","9,0","12,0","2,0","2,0","-3,0","78,9","5,0",30,Medium,FALSE,luxury_premium,OK
Ancient Greek Sandals,Ancient Greek Sandals,Greece,Footwear,Debenhams,Non,"72,4",P2 — Recommandé,"80,0","28,0","9,0","13,5","10,0","8,0","3,0","2,0","-7,0","71,5","5,0",30,Medium,FALSE,luxury_premium,OK
Ancient Greek Sandals,Ancient Greek Sandals,Greece,Footwear,La Redoute,Non,"70,2",P2 — Recommandé,"50,0","27,0","10,0","13,5","10,0","8,0","2,0","2,0","-5,0","72,5","5,0",30,Medium,FALSE,luxury_premium,OK
Andrea Fohrman,Andrea Fohrman,USA,Fine Jewelry,Bloomingdale's,Non,"81,3",P1 — Fort potentiel,"82,0","30,0","12,0","9,2","12,0","12,0","4,0","1,0","-4,0","81,2","5,0",1,High,FALSE,luxury_premium,OK
Andrea Fohrman,Andrea Fohrman,USA,Fine Jewelry,Nordstrom,Oui,"79,0",P2 — Recommandé,,"28,0","12,0","10,0","12,0","11,0","4,0","1,0","-4,0","79,0","5,0",1,High,FALSE,luxury_premium,OK
Andrea Fohrman,Andrea Fohrman,USA,Fine Jewelry,Galeries Lafayette,Non,"70,2",P2 — Recommandé,"72,0","25,0","8,0","8,0","12,0","12,0","6,0","1,0","-7,0","70,0","5,0",1,High,FALSE,luxury_premium,OK
Andrea Fohrman,Andrea Fohrman,USA,Fine Jewelry,John Lewis,Non,"70,0",P2 — Recommandé,"82,0","19,0","9,0","9,2","13,0","11,0","5,5","1,0","-4,0","68,7","5,0",1,High,FALSE,luxury_premium,OK
Andrea Fohrman,Andrea Fohrman,USA,Fine Jewelry,La Redoute,Non,"48,9",Watchlist — faible fit,"57,0","16,0","8,0","10,0","13,0","8,0","6,0","1,0","-19,0","48,0","5,0",1,High,FALSE,luxury_premium,OK
Andrea Fohrman,Andrea Fohrman,USA,Fine Jewelry,Debenhams,Non,"48,9",Watchlist — faible fit,"57,0","18,0","10,0","10,0","13,0","7,0","5,0","1,0","-21,0","48,0","5,0",1,High,FALSE,luxury_premium,OK
Another Tomorrow,Another Tomorrow,USA,Womenswear RTW,Nordstrom,Oui,"83,9",P1 — Fort potentiel,,"27,0","12,0","10,9","10,0","11,0","3,0","5,0","0,0","83,9","3,0",11,Medium,TRUE,luxury_premium,OK
Another Tomorrow,Another Tomorrow,USA,Womenswear RTW,Bloomingdale's,Oui,"83,3",P1 — Fort potentiel,,"28,0","12,0","10,3","10,0","12,0","3,0","3,0","0,0","83,3","3,0",11,Medium,TRUE,luxury_premium,OK
Another Tomorrow,Another Tomorrow,USA,Womenswear RTW,John Lewis,Non,"82,9",P1 — Fort potentiel,"57,0","29,0","9,0","10,3","11,0","12,0","4,5","5,0","0,0","85,8","3,0",11,Medium,TRUE,luxury_premium,OK
Another Tomorrow,Another Tomorrow,USA,Womenswear RTW,La Redoute,Non,"81,5",P1 — Fort potentiel,"100,0","30,0","8,0","11,4","11,0","9,0","5,0","5,0","-5,0","79,4","3,0",11,Medium,TRUE,luxury_premium,OK
Another Tomorrow,Another Tomorrow,USA,Womenswear RTW,Debenhams,Non,"77,0",P2 — Recommandé,"100,0","28,0","10,0","11,4","11,0","8,0","4,0","3,0","-6,0","74,4","3,0",11,Medium,TRUE,luxury_premium,OK
Another Tomorrow,Another Tomorrow,USA,Womenswear RTW,Galeries Lafayette,Non,"71,2",P2 — Recommandé,"42,0","30,0","8,0","9,0","10,0","12,0","5,0","3,5","-8,0","74,5","3,0",11,Medium,TRUE,luxury_premium,OK
BODE New York,BODE New York,USA,Womenswear RTW,Nordstrom,Oui,"83,5",P1 — Fort potentiel,,"27,0","12,0","12,5","8,0","11,0","3,0","5,0","0,0","83,5","3,0",41,Medium,TRUE,luxury_premium,OK
BODE New York,BODE New York,USA,Womenswear RTW,Bloomingdale's,Oui,"83,0",P1 — Fort potentiel,,"28,0","12,0","12,0","8,0","12,0","3,0","3,0","0,0","83,0","3,0",41,Medium,TRUE,luxury_premium,OK
BODE New York,BODE New York,USA,Womenswear RTW,John Lewis,Non,"80,5",P1 — Fort potentiel,"90,0","25,0","9,0","12,0","8,0","11,0","4,5","5,0","0,0","79,5","3,0",41,Medium,TRUE,luxury_premium,OK
BODE New York,BODE New York,USA,Womenswear RTW,Galeries Lafayette,Non,"77,3",P2 — Recommandé,"80,0","30,0","8,0","11,5","8,0","12,0","5,0","3,5","-6,0","77,0","3,0",41,Medium,TRUE,luxury_premium,OK
BODE New York,BODE New York,USA,Womenswear RTW,La Redoute,Non,"70,0",P2 — Recommandé,"65,0","27,0","8,0","12,5","8,0","8,0","5,0","5,0","-8,0","70,5","3,0",41,Medium,TRUE,luxury_premium,OK
BODE New York,BODE New York,USA,Womenswear RTW,Debenhams,Non,"68,2",P3 — Test / à cadrer,"65,0","28,0","10,0","12,5","8,0","8,0","4,0","3,0","-10,0","68,5","3,0",41,Medium,TRUE,luxury_premium,OK
BONDI BORN,BONDI BORN,Australia,Swimwear / Resort,Nordstrom,Oui,"83,4",P1 — Fort potentiel,,"27,0","11,0","11,4","9,0","11,0","5,0","4,0","0,0","83,4","3,0",11,Medium,TRUE,luxury_premium,OK
BONDI BORN,BONDI BORN,Australia,Swimwear / Resort,Bloomingdale's,Oui,"77,8",P2 — Recommandé,,"25,0","9,0","10,8","9,0","12,0","5,0","2,0","0,0","77,8","3,0",11,Medium,TRUE,luxury_premium,OK
BONDI BORN,BONDI BORN,Australia,Swimwear / Resort,La Redoute,Non,"77,7",P2 — Recommandé,"85,0","26,0","8,0","11,9","10,0","9,0","5,0","4,0","-2,0","76,9","3,0",11,Medium,TRUE,luxury_premium,OK
BONDI BORN,BONDI BORN,Australia,Swimwear / Resort,John Lewis,Non,"75,6",P2 — Recommandé,"87,0","20,0","9,0","10,8","10,0","11,0","4,5","4,0","0,0","74,3","3,0",11,Medium,TRUE,luxury_premium,OK
BONDI BORN,BONDI BORN,Australia,Swimwear / Resort,Debenhams,Non,"75,6",P2 — Recommandé,"100,0","25,0","10,0","11,9","10,0","8,0","4,0","2,0","-3,0","72,9","3,0",11,Medium,TRUE,luxury_premium,OK
BONDI BORN,BONDI BORN,Australia,Swimwear / Resort,Galeries Lafayette,Non,"66,9",P3 — Test / à cadrer,"57,0","22,0","8,0","9,5","9,0","12,0","5,0","2,5","-5,0","68,0","3,0",11,Medium,TRUE,luxury_premium,OK
BPE,BPE,USA,Bridal / Occasion,Nordstrom,Non,"76,2",P2 — Recommandé,"82,0","22,0","12,0","10,5","11,0","11,0","5,0","1,0","-2,0","75,5","3,0",5,High,FALSE,luxury_premium,OK
BPE,BPE,USA,Bridal / Occasion,John Lewis,Non,"75,2",P2 — Recommandé,"82,0","22,0","9,0","10,0","12,0","11,0","6,5","1,0","-2,0","74,5","3,0",5,High,FALSE,luxury_premium,OK
BPE,BPE,USA,Bridal / Occasion,Debenhams,Non,"65,9",P3 — Test / à cadrer,"92,0","22,0","10,0","11,0","12,0","7,0","6,0","1,0","-11,0","63,0","3,0",5,High,FALSE,luxury_premium,OK
BPE,BPE,USA,Bridal / Occasion,Bloomingdale's,Non,"63,7",P3 — Test / à cadrer,"52,0","14,0","12,0","10,0","11,0","12,0","5,0","1,0","-5,0","65,0","3,0",5,High,FALSE,luxury_premium,OK
BPE,BPE,USA,Bridal / Occasion,La Redoute,Non,"59,6",Watchlist — faible fit,"92,0","16,0","8,0","11,0","12,0","8,0","7,0","1,0","-12,0","56,0","3,0",5,High,FALSE,luxury_premium,OK
BPE,BPE,USA,Bridal / Occasion,Galeries Lafayette,Non,"50,1",Watchlist — faible fit,"42,0","12,0","8,0","8,0","11,0","12,0","7,0","1,0","-13,0","51,0","3,0",5,High,FALSE,luxury_premium,OK
Barton Perreira,Barton Perreira,USA,Eyewear,Nordstrom,Oui,"82,9",P1 — Fort potentiel,,"20,0","12,0","13,9","12,0","11,0","4,0","5,0","0,0","82,9","10,0",11,High,TRUE,luxury_premium,OK
Barton Perreira,Barton Perreira,USA,Eyewear,Bloomingdale's,Oui,"81,1",P1 — Fort potentiel,,"20,0","12,0","13,1","12,0","12,0","4,0","3,0","0,0","81,1","10,0",11,High,TRUE,luxury_premium,OK
Barton Perreira,Barton Perreira,USA,Eyewear,John Lewis,Non,"76,0",P2 — Recommandé,"62,0","17,0","9,0","13,1","12,0","11,0","5,5","5,0","0,0","77,6","10,0",11,High,TRUE,luxury_premium,OK
Barton Perreira,Barton Perreira,USA,Eyewear,Galeries Lafayette,Non,"75,8",P2 — Recommandé,"52,0","23,0","8,0","10,9","12,0","12,0","6,0","3,5","-2,0","78,4","10,0",11,High,TRUE,luxury_premium,OK
Barton Perreira,Barton Perreira,USA,Eyewear,La Redoute,Non,"69,5",P3 — Test / à cadrer,"70,0","16,0","8,0","14,4","12,0","8,0","6,0","5,0","-5,0","69,4","10,0",11,High,TRUE,luxury_premium,OK
Barton Perreira,Barton Perreira,USA,Eyewear,Debenhams,Non,"65,0",P3 — Test / à cadrer,"70,0","15,0","10,0","14,4","12,0","7,0","5,0","3,0","-7,0","64,4","10,0",11,High,TRUE,luxury_premium,OK
Berceau (Almasika),Berceau,USA,Fine Jewelry,Bloomingdale's,Non,"79,8",P2 — Recommandé,"82,0","30,0","12,0","8,5","12,0","12,0","5,0","1,0","-6,0","79,5","3,0",2,High,FALSE,luxury_premium,Mapping URL/marque à vérifier
Berceau (Almasika),Berceau,USA,Fine Jewelry,Nordstrom,Non,"77,5",P2 — Recommandé,"82,0","28,0","12,0","9,0","12,0","11,0","5,0","1,0","-6,0","77,0","3,0",2,High,FALSE,luxury_premium,Mapping URL/marque à vérifier
Berceau (Almasika),Berceau,USA,Fine Jewelry,John Lewis,Non,"68,5",P3 — Test / à cadrer,"82,0","19,0","9,0","8,5","13,0","11,0","6,5","1,0","-6,0","67,0","3,0",2,High,FALSE,luxury_premium,Mapping URL/marque à vérifier
Berceau (Almasika),Berceau,USA,Fine Jewelry,Galeries Lafayette,Non,"66,6",P3 — Test / à cadrer,"72,0","25,0","8,0","8,0","12,0","12,0","7,0","1,0","-12,0","66,0","3,0",2,High,FALSE,luxury_premium,Mapping URL/marque à vérifier
Berceau (Almasika),Berceau,USA,Fine Jewelry,La Redoute,Non,"47,1",Watchlist — faible fit,"57,0","16,0","8,0","9,0","13,0","8,0","7,0","1,0","-21,0","46,0","3,0",2,High,FALSE,luxury_premium,Mapping URL/marque à vérifier
Berceau (Almasika),Berceau,USA,Fine Jewelry,Debenhams,Non,"47,1",Watchlist — faible fit,"57,0","18,0","10,0","9,0","13,0","7,0","6,0","1,0","-23,0","46,0","3,0",2,High,FALSE,luxury_premium,Mapping URL/marque à vérifier
Borgo de Nor,Borgo de Nor,UK,Swimwear / Resort,Debenhams,Non,"85,9",P1 — Fort potentiel,"90,0","28,0","12,0","11,4","12,0","12,0","4,0","1,0","0,0","85,4","2,0",11,High,FALSE,premium_contemporary,OK
Borgo de Nor,Borgo de Nor,UK,Swimwear / Resort,La Redoute,Non,"85,0",P1 — Fort potentiel,"90,0","27,0","10,0","11,4","12,0","12,0","6,0","1,0","0,0","84,4","2,0",11,High,FALSE,premium_contemporary,OK
Borgo de Nor,Borgo de Nor,UK,Swimwear / Resort,Nordstrom,Non,"81,8",P1 — Fort potentiel,"72,0","27,0","10,0","10,9","11,0","12,0","6,0","1,0","0,0","82,9","2,0",11,High,FALSE,premium_contemporary,OK
Borgo de Nor,Borgo de Nor,UK,Swimwear / Resort,John Lewis,Oui,"77,3",P2 — Recommandé,,"25,0","12,0","10,3","12,0","11,0","4,0","1,0","-3,0","77,3","2,0",11,High,FALSE,premium_contemporary,OK
Borgo de Nor,Borgo de Nor,UK,Swimwear / Resort,Bloomingdale's,Non,"75,8",P2 — Recommandé,"62,0","28,0","9,0","10,3","11,0","10,0","6,0","1,0","-3,0","77,3","2,0",11,High,FALSE,premium_contemporary,OK
Borgo de Nor,Borgo de Nor,UK,Swimwear / Resort,Galeries Lafayette,Non,"72,9",P2 — Recommandé,"72,0","30,0","11,0","7,0","11,0","10,0","6,0","1,0","-8,0","73,0","2,0",11,High,FALSE,premium_contemporary,OK
Brent Neale,Brent Neale,USA,Fine Jewelry,Nordstrom,Non,"78,4",P2 — Recommandé,"82,0","28,0","12,0","10,0","9,0","11,0","4,0","1,0","-2,0","78,0","2,0",5,Medium,FALSE,luxury_premium,OK
Brent Neale,Brent Neale,USA,Fine Jewelry,Bloomingdale's,Oui,"77,5",P2 — Recommandé,,"30,0","12,0","9,5","9,0","12,0","4,0","1,0","-5,0","77,5","2,0",5,Medium,FALSE,luxury_premium,OK
Brent Neale,Brent Neale,USA,Fine Jewelry,John Lewis,Non,"65,7",P3 — Test / à cadrer,"72,0","19,0","9,0","9,5","10,0","11,0","5,5","1,0","-5,0","65,0","2,0",5,Medium,FALSE,luxury_premium,OK
