Recommandations finales — 2 nouveaux marketplaces par marque,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaque recommandation exclut les marketplaces déjà présents. Les scores reflètent le modèle optimisé; les raisons/risques sont rédigés pour être utilisables en pitch ou en plan d'action.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Marque,URL,Pays,Catégorie optimisée,Tags produits,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable / éthique,Positionnement,Marketplaces déjà présents,Reco #1,Score #1,Priorité #1,Pourquoi #1,Plan d'entrée #1,Conditions / risques #1,Reco #2,Score #2,Priorité #2,Pourquoi #2,Plan d'entrée #2,Conditions / risques #2,Opportunité conseil,Confiance,Notes data,Sources marque
Andrea Fohrman,andreafohrman.com,USA,Fine Jewelry,"fine jewelry, jewelry","5,0",1,High,Non,luxury_premium,Nordstrom,Bloomingdale's,"81,3",P1 — Fort potentiel,"fit catégorie très fort (Fine Jewelry) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $5M, effectif min. 1, international High","Pitch curaté 20–40 SKU Fine Jewelry; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",renforcer flux SAV/retours/catalogue avant onboarding,Galeries Lafayette,"70,2",P2 — Recommandé,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $5M, effectif min. 1, international High | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: setup US marketplace / localisation FR/EUR / assortiment + pitch buyer,Haute,OK,andreafohrman.com/our-story; CFDA; ZoomInfo; theeyeofjewelry.com; Liberty London
Another Tomorrow,anothertomorrow.co,USA,Womenswear RTW,"home/lifestyle, knit/cashmere, womenswear","3,0",11,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"82,9",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,La Redoute,"81,5",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $3M, effectif min. 11, international Medium | narratif durable/artisanal monétisable","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,Wikipedia; anothertomorrow.co; Madame Architect interview; No Kill Mag; Impact Podcast
BODE New York,bodenewyork.com,USA,Womenswear RTW,"menswear, womenswear","3,0",41,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"80,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 41, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"77,3",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $3M, effectif min. 41, international Medium | narratif durable/artisanal monétisable","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,Wikipedia; bode.com/about; BoF; RocketReach; Buzzfile; Puck News
BONDI BORN,bondiborn.com,Australia,Swimwear / Resort,swim/resort,"3,0",11,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",La Redoute,"77,7",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | levier d’entrée France/Europe depuis Australia | readiness commerciale: CA $3M, effectif min. 11, international Medium | narratif durable/artisanal monétisable","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,John Lewis,"75,6",P2 — Recommandé,"fit catégorie à cadrer (Swimwear / Resort) | levier d’entrée UK depuis Australia | readiness commerciale: CA $3M, effectif min. 11, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,bondiborn.com; LinkedIn; ZoomInfo
BPE,daniellefrankelstudio.com,USA,Bridal / Occasion,bridal,"3,0",5,High,Non,luxury_premium,Aucun dans le set cible,Nordstrom,"76,2",P2 — Recommandé,"fit catégorie à cadrer (Bridal / Occasion) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $3M, effectif min. 5, international High","Test dropship 30–60 SKU Bridal / Occasion; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding,John Lewis,"75,2",P2 — Recommandé,"fit catégorie à cadrer (Bridal / Occasion) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 5, international High | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,daniellefrankelstudio.com; ZoomInfo; LinkedIn
Barton Perreira,bartonperreira.com,USA,Eyewear,eyewear,"10,0",11,High,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"76,0",P2 — Recommandé,"fit catégorie à cadrer (Eyewear) | levier d’entrée UK depuis USA | readiness commerciale: CA $10M, effectif min. 11, international High | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"75,8",P2 — Recommandé,"fit catégorie à cadrer (Eyewear) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $10M, effectif min. 11, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,bartonperreira.com; ZoomInfo; LinkedIn; CFDA
Berceau (Almasika),almasika.com,USA,Fine Jewelry,"fine jewelry, jewelry","3,0",2,High,Non,luxury_premium,Aucun dans le set cible,Bloomingdale's,"79,8",P2 — Recommandé,"fit catégorie très fort (Fine Jewelry) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $3M, effectif min. 2, international High","Pitch curaté 20–40 SKU Fine Jewelry; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",renforcer flux SAV/retours/catalogue avant onboarding | Mapping URL/marque à vérifier,Nordstrom,"77,5",P2 — Recommandé,"fit catégorie très fort (Fine Jewelry) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $3M, effectif min. 2, international High","Test dropship 30–60 SKU Fine Jewelry; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding | Mapping URL/marque à vérifier,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,Mapping URL/marque à vérifier,almasika.com; ZoomInfo; LinkedIn
Borgo de Nor,borgodenor.com,UK,Swimwear / Resort,"swim/resort, womenswear","2,0",11,High,Non,premium_contemporary,John Lewis,Debenhams,"85,9",P1 — Fort potentiel,"fit catégorie très fort (Swimwear / Resort) | cohérence marché UK | readiness commerciale: CA $2M, effectif min. 11, international High",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,aucun blocage majeur; avancer en pitch/onboarding,La Redoute,"85,0",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | cohérence européenne/France | readiness commerciale: CA $2M, effectif min. 11, international High | forte incrémentalité car canal cible peu/ pas exploité","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",aucun blocage majeur; avancer en pitch/onboarding,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,borgodenor.com; Companies House UK; LinkedIn
Brent Neale,brentneale.com,USA,Fine Jewelry,"fine jewelry, jewelry","2,0",5,Medium,Non,luxury_premium,Bloomingdale's,Nordstrom,"78,4",P2 — Recommandé,"fit catégorie très fort (Fine Jewelry) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 5, international Medium","Test dropship 30–60 SKU Fine Jewelry; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding,John Lewis,"65,7",P3 — Test / à cadrer,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,brentneale.com; ZoomInfo; LinkedIn; CFDA
By Pariah,bypariah.com,Australia,Fine Jewelry,"fine jewelry, jewelry","3,0",2,High,Oui,luxury_premium,Aucun dans le set cible,Nordstrom,"80,7",P1 — Fort potentiel,"fit catégorie très fort (Fine Jewelry) | levier d’expansion US depuis Australia | readiness commerciale: CA $3M, effectif min. 2, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Fine Jewelry; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding | prévoir setup US: TIN/warehouse/retours/service client,Bloomingdale's,"78,9",P2 — Recommandé,"fit catégorie très fort (Fine Jewelry) | levier d’expansion US depuis Australia | readiness commerciale: CA $3M, effectif min. 2, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Fine Jewelry; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",renforcer flux SAV/retours/catalogue avant onboarding | prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer / storytelling durable,Haute,OK,bypariah.com; LinkedIn
CARLO MORETTI (via Emporio Sirenuse),emporiosirenuse.com,Italy,Home / Lifestyle,home/lifestyle,,20,Medium,Non,premium_contemporary,Aucun dans le set cible,La Redoute,"82,5",P1 — Fort potentiel,"fit catégorie très fort (Home / Lifestyle) | cohérence européenne/France | readiness commerciale: CA N/D, effectif min. 20, international Medium","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",valider CA et capacité de stock avant pitch | CA non disponible,John Lewis,"81,7",P1 — Fort potentiel,"fit catégorie très fort (Home / Lifestyle) | levier d’entrée UK depuis Italy | readiness commerciale: CA N/D, effectif min. 20, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",valider CA et capacité de stock avant pitch | cadrer livraison/retours UK et prix GBP | CA non disponible,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Moyenne,CA non disponible,emporiosirenuse.com; carlomoretti.com; Wikipedia (Carlo Moretti)
CDLP,cdlp.se,Sweden,Womenswear RTW,"menswear, womenswear","10,0",25,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"85,8",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis Sweden | readiness commerciale: CA $10M, effectif min. 25, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"83,2",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | cohérence européenne/France | readiness commerciale: CA $10M, effectif min. 25, international Medium | narratif durable/artisanal monétisable","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",aucun blocage majeur; avancer en pitch/onboarding,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,cdlp.se; LinkedIn; Tracxn
CHARO RUIZ,charoruiz.com,Spain,Swimwear / Resort,swim/resort,"10,0",50,High,Non,luxury_premium,Aucun dans le set cible,Nordstrom,"89,0",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | levier d’expansion US depuis Spain | readiness commerciale: CA $10M, effectif min. 50, international High | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Swimwear / Resort; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Bloomingdale's,"86,6",P1 — Fort potentiel,"fit catégorie solide (Swimwear / Resort) | levier d’expansion US depuis Spain | readiness commerciale: CA $10M, effectif min. 50, international High | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Swimwear / Resort; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,OK,charoruiz.com; ZoomInfo; LinkedIn
Cabana Magazine,cabanamagazine.com,Italy,Home / Lifestyle,home/lifestyle,,11,High,Non,luxury_premium,Aucun dans le set cible,John Lewis,"78,6",P2 — Recommandé,"fit catégorie très fort (Home / Lifestyle) | levier d’entrée UK depuis Italy | readiness commerciale: CA N/D, effectif min. 11, international High | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",valider CA et capacité de stock avant pitch | cadrer livraison/retours UK et prix GBP | CA non disponible,La Redoute,"78,4",P2 — Recommandé,"fit catégorie très fort (Home / Lifestyle) | cohérence européenne/France | readiness commerciale: CA N/D, effectif min. 11, international High","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",valider CA et capacité de stock avant pitch | protéger le prix et l’image: capsule sélective sans promo agressive | CA non disponible,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Moyenne,CA non disponible,cabanamagazine.com; LinkedIn; ZoomInfo
