Name,brandUrl,category,creation_date,adresse_siege_social,rating,type_entreprise,nb_employees,nb_clients,nb_societies,nb_societies_international,sales,sources
Berceau (Almasika),almasika.com,"Fine jewelry — geometric, talismanic, sculptural; 18k gold, precious stones; brand in your CSV referenced as 'Berceau' under almasika.com",2014,"New York, NY, USA",N/A,"Private company, founded by Catherine Sarr",~2–10,Not disclosed,Almasika LLC,"DTC online; select boutiques worldwide (Bergdorf Goodman, Goop, Net-A-Porter)",Not publicly disclosed (est. <$3M),almasika.com; ZoomInfo; LinkedIn
Borgo de Nor,borgodenor.com,"Contemporary womenswear — vibrant prints, silk, resort wear, dresses; London-based",2017,"London, United Kingdom",N/A,"Private Limited Company (UK), co-founded by sisters Daniella and Dasha Baroch",~11–50,Not disclosed,Borgo de Nor Ltd (UK),"DTC + wholesale worldwide (Liberty London, Net-A-Porter, Selfridges); shown at London Fashion Week",Not publicly disclosed (est. ~$2–8M),borgodenor.com; Companies House UK; LinkedIn
Brent Neale,brentneale.com,"Fine jewelry — playful, colorful enamel, 18k gold, bold cocktail rings, earrings; NYC-made",2014,"New York, NY, USA",N/A,"Private company (Brent Neale LLC), founded by Brent Neale Tucker",~5–15,Not disclosed,Brent Neale LLC,"NYC studio + DTC; wholesale (Bergdorf Goodman, Net-A-Porter, Moda Operandi, Anthropologie)",Not publicly disclosed (est. ~$2–8M),brentneale.com; ZoomInfo; LinkedIn; CFDA
By Pariah,bypariah.com,"Fine jewelry — gold filled, vermeil, minimalist everyday jewelry; sustainable, ethical sourcing",2015,Australia (online-first DTC),N/A,"Private company, Australia",~2–10,Not disclosed,By Pariah Pty Ltd,"DTC e-commerce (global); Australian-founded, ships worldwide",Not publicly disclosed (est. <$3M),bypariah.com; LinkedIn
CARLO MORETTI (via Emporio Sirenuse),emporiosirenuse.com,"Venetian glass lifestyle objects & gifts; distributed via Emporio Sirenuse (hotel boutique of Le Sirenuse, Positano)",1958 (Carlo Moretti glassworks Murano); Emporio Sirenuse – 1990s,"Via Cristoforo Colombo 30, Positano (SA) 84017, Italy (Le Sirenuse / Emporio Sirenuse)",N/A,S.r.l. — Carlo Moretti S.r.l. (Murano); Emporio Sirenuse S.r.l. (Positano). Both private Italian companies,~20–50 (combined),Not disclosed,Carlo Moretti S.r.l. + Emporio Sirenuse S.r.l.,"Positano boutique + online; wholesale (MoMA Design Store, high-end lifestyle retailers)",Not publicly disclosed,emporiosirenuse.com; carlomoretti.com; Wikipedia (Carlo Moretti)
CDLP,cdlp.se,"Luxury underwear & loungewear — TENCEL lyocell, sustainable fabrics; men's & women's basics",2016,"Stockholm, Sweden",N/A,"Private company (Christoffer Löfgren AB / CDLP AB), co-founded by Andreas Palm and Christian Larson",~25–75,Not disclosed,CDLP AB (Sweden),"DTC e-commerce (global); wholesale (Mr Porter, Net-A-Porter, Selfridges, Matchesfashion)",Not publicly disclosed (est. ~$10–30M),cdlp.se; LinkedIn; Tracxn
CHARO RUIZ,charoruiz.com,"Luxury resort wear & beachwear — crochet, lace, embroidery; Ibiza-born aesthetic",1990,"Ibiza, Spain",N/A,"S.L. (Sociedad Limitada) — Private Spanish company, founded by Charo Ruiz",~50–100,Not disclosed,Charo Ruiz Ibiza S.L.,Ibiza flagship + showrooms; 200+ wholesale stockists worldwide; e-commerce global,Not publicly disclosed (est. ~$10–30M),charoruiz.com; ZoomInfo; LinkedIn
Cabana Magazine,cabanamagazine.com,Luxury interiors & lifestyle magazine + limited-edition textile/home objects; biannual publication,2012,"Milan, Italy",N/A,"Private company (S.r.l.), co-founded by Martina Mondadori Sartogo",~11–50,Not disclosed,Cabana S.r.l.,"Published & distributed globally; sold at Colette (historical), Liberty, MoMA; events in NYC, London, Milan, Paris",Not publicly disclosed,cabanamagazine.com; LinkedIn; ZoomInfo
Calle Del Mar LLC,calledelmar.com,"Luxury swimwear & resortwear — sustainable fabrics, inclusive sizing",2018,"New York, NY, USA",N/A,LLC — Private company,~2–10,Not disclosed,Calle Del Mar LLC,DTC e-commerce; select wholesale,Not publicly disclosed (est. <$3M),calledelmar.com; ZoomInfo
Carolina Bucci,carolinabucci.com,"Fine & luxury jewelry — Florentine woven gold (Florentine finish), bracelets, necklaces, rings; Italian craftsmanship",2004,"Florence, Italy (family workshop heritage); London office/showroom",N/A,"Private company (Bucci family), founded by Carolina Bucci",~10–30,Not disclosed,Carolina Bucci Ltd (UK entity) + Italian entities,"No standalone stores; wholesale worldwide (Net-A-Porter, Bergdorf, Harrods, Matches); DTC online; global celebrity following",Not publicly disclosed (est. ~$5–20M),carolinabucci.com; ZoomInfo; LinkedIn; CFDA
Christian Siriano,christiansiriano.com,"Luxury womenswear & couture — eveningwear, ready-to-wear, accessories; inclusivity-champion; also collaborations (Payless, Starbucks, etc.)",2008,"260 W 36th Street, New York, NY 10018, USA",N/A,"LLC — Christian Siriano LLC; Private company, founded by Christian Siriano (Season 4 Project Runway winner)",~25–75 (LeadIQ est.),Not disclosed,Christian Siriano LLC,NYC flagship (260 W 36th St); wholesale worldwide; shown at NYFW; global media/celebrity presence,Not publicly disclosed (est. ~$10–30M),christiansiriano.com; ZoomInfo; LinkedIn; WWD
Christopher Esber,christopheresber.com,"Contemporary womenswear & menswear — Australian luxury designer; sculptural draping, corsetry, linen",2012,"Sydney, New South Wales, Australia",N/A,Pty Ltd — Private company (Christopher Esber Pty Ltd),~11–50,Not disclosed,Christopher Esber Pty Ltd,"Sydney flagship; wholesale worldwide (Net-A-Porter, Ssense, Moda Operandi, Shopbop); Australian Fashion Week; ships globally",Not publicly disclosed (est. ~$5–20M),christopheresber.com; ZoomInfo; LinkedIn; Vogue Australia
Christopher John Rogers,christopherjohnrogers.com,"Luxury womenswear — maximalist, color-saturated, sculptural; couture-adjacent; eveningwear",2016,"New York, NY, USA",N/A,"LLC — Private company; CFDA/Vogue Fashion Fund winner 2020; worn by Michelle Obama, Beyoncé",~11–50,Not disclosed,Christopher John Rogers LLC,"No standalone store; wholesale worldwide (Net-A-Porter, Saks, Bergdorf, Farfetch); shown at NYFW",Not publicly disclosed (est. ~$3–10M),christopherjohnrogers.com; ZoomInfo; LinkedIn; BoF
Clio Peppiatt,cliopeppiatt.co.uk,"Contemporary womenswear & accessories — whimsical, maximalist, retro-inspired; dresses, knitwear",2015,"London, United Kingdom",N/A,"Ltd — Clio Peppiatt Ltd (UK Companies House); Private company, founded by Clio Peppiatt",~5–20,Not disclosed,Clio Peppiatt Ltd (UK),"DTC online; wholesale (ASOS, Selfridges, Wolf & Badger)",Not publicly disclosed (est. ~$1–5M),cliopeppiatt.co.uk; Companies House UK; LinkedIn
Comme Si,commesi.com,"Premium socks & hosiery — sustainable, Egyptian cotton, Merino wool; elevated basics",2019,"New York, NY, USA",N/A,"Private company (Comme Si LLC), founded by Jessica Tay and Farida Jahanpour-Graff",~5–20,Not disclosed,Comme Si LLC,"DTC e-commerce (global); wholesale (Net-A-Porter, Goop, Saks, Bergdorf); ships worldwide",Not publicly disclosed (est. ~$2–8M),commesi.com; LinkedIn; ZoomInfo
Cortana,cortana.es,"Luxury bridal & womenswear — artisanal Spanish couture; silk, lace, minimal silhouettes",1994,"Barcelona, Spain",N/A,"S.L. — Cortana SL; Private Spanish company, founded by Rosa Tous Mateu",~20–50,Not disclosed,Cortana SL,Barcelona atelier + e-shop; wholesale globally; shown at Barcelona Bridal Fashion Week,Not publicly disclosed (est. ~$3–10M),cortana.es; LinkedIn; ZoomInfo
Diotima,diotima.world,"Contemporary womenswear — Caribbean-inspired, handcrafted crochet, natural fibers; designed by Rachel Scott",2020,"New York, NY, USA",N/A,"Private company (Diotima LLC), founded by Rachel Scott",~2–10,Not disclosed,Diotima LLC,"DTC online; wholesale (Bergdorf, Net-A-Porter, Ssense); CFDA member","Not publicly disclosed (est. <$3M, early-stage)",diotima.world; ZoomInfo; LinkedIn; CFDA
Doen,shopdoen.com,"Women's ready-to-wear — romantic, vintage-inspired, sustainable fabrics; dresses, tops, knitwear",2015,"Los Angeles, California, USA",N/A,"Private company (Doen LLC), co-founded by sisters Margaret and Katherine Kleveland",~50–100 (LeadIQ est.),Not disclosed,Doen LLC,LA flagship + NYC pop-ups; DTC e-commerce (strong Instagram-driven); wholesale limited; ships globally,Not publicly disclosed (est. ~$20–60M based on brand scale),shopdoen.com; ZoomInfo; LinkedIn; BoF
DÉHANCHE,dehanche.com,"Luxury belts & leather accessories — handcrafted, maximalist designs; statement waist belts",2015,"New York, NY, USA",N/A,"Private company, founded by Heidi Vanden Bosch",~2–10,Not disclosed,Déhanche LLC,"DTC e-commerce; wholesale (Net-A-Porter, Bergdorf, Barneys historical)",Not publicly disclosed (est. <$3M),dehanche.com; ZoomInfo; LinkedIn
ESCVDO,escvdo.com,"Contemporary womenswear — Peruvian-inspired, sustainable, artisan textiles; color-driven",2015,"Lima, Peru / New York, NY, USA",N/A,"Private company, founded by Cynthia Davalos",~5–20,Not disclosed,ESCVDO SAC (Peru),"Lima + NYC presence; wholesale (Moda Operandi, Net-A-Porter); ships globally",Not publicly disclosed (est. <$5M),escvdo.com; LinkedIn; ZoomInfo
Edition (Cecilie Bahnsen),ceciliebahnsen.com,"Luxury womenswear — sculptural volumes, organza, tulle, Danish minimalist-meets-romantic aesthetic",2015,"Copenhagen, Denmark",N/A,ApS (Danish private limited company) — Cecilie Bahnsen ApS; Private,~20–50 (LinkedIn est.),Not disclosed,Cecilie Bahnsen ApS,"Copenhagen studio; wholesale globally (Net-A-Porter, Ssense, Matches, Bergdorf, Selfridges); LVMH Prize finalist 2019; Paris Fashion Week",Not publicly disclosed (est. ~$5–15M),ceciliebahnsen.com; LinkedIn; ZoomInfo; BoF
El Sol (Faithfull the Brand),faithfullthebrand.com,"Contemporary women's resort wear — vintage-inspired prints, linen, vacation dresses",2012,"Bali, Indonesia (production & HQ); Copenhagen, Denmark (founders)",N/A,"Private company, co-founded by Sarah-Jane Taylor and Helle Them-Enger",~50–100,Not disclosed,Faithfull the Brand Pty Ltd (Australia) / Indonesian entity,"DTC e-commerce (global); wholesale (Net-A-Porter, Revolve, ASOS, Nordstrom); pop-up stores",Not publicly disclosed (est. ~$20–50M),faithfullthebrand.com; ZoomInfo; LinkedIn; BoF
Emme Parsons,emmeparsons.com,"Luxury women's footwear — handcrafted flats, slides, mules; natural materials, understated elegance",2016,"New York, NY, USA",N/A,"Private company, founded by Emme Parsons",~5–20,Not disclosed,Emme Parsons LLC,"DTC online; wholesale (Moda Operandi, Net-A-Porter, Bergdorf, Shopbop, Ssense)",Not publicly disclosed (est. ~$2–8M),emmeparsons.com; ZoomInfo; LinkedIn; CFDA
FFORME,fforme.com,"Luxury womenswear — body-conscious, sculptural forms; inclusive sizing; premium fabrics",2021,"New York, NY, USA",N/A,"Private company, founded by former Net-A-Porter president Alison Loehnis and designer Pamela Love (advisor)",~11–30,Not disclosed,FFORME LLC,"DTC online; wholesale (Net-A-Porter, Moda Operandi)",Not publicly disclosed (est. ~$2–8M),fforme.com; ZoomInfo; LinkedIn; BoF
FoundRae,foundrae.com,"Fine jewelry — talisman, narrative-driven medallions, chains, 18k gold, diamonds; storytelling design",2015,"New York, NY, USA (NYC flagship + studio)",N/A,"Private company (FoundRae LLC), founded by Beth Bugdaycay",~25–75,Not disclosed,FoundRae LLC,"NYC flagship + Aspen, Nantucket pop-ups; wholesale (Net-A-Porter, Bergdorf, Saks, Shopbop, Moda Operandi); global DTC",Not publicly disclosed (est. ~$5–20M),foundrae.com; ZoomInfo; LinkedIn; CFDA
GABRIELA HEARST,gabrielahearst.com,"Sustainable luxury womenswear — ready-to-wear, knitwear, handbags; Uruguayan heritage; Chloé Creative Director 2021–2023",2015,"New York, NY, USA (HQ at 819 Madison Ave flagship; also London Mayfair flagship)",N/A,"Private company (Gabriela Hearst LLC), founded by Gabriela Hearst; LFMH awarded",~50–100,Not disclosed,Gabriela Hearst LLC,"NYC flagship (Madison Ave); London (Carlos Place, Mayfair); wholesale (Net-A-Porter, Bergdorf, Neiman Marcus, Harrods); shown at NYFW & Paris",Not publicly disclosed (est. ~$20–50M),gabrielahearst.com; ZoomInfo; LinkedIn; BoF; Wikipedia
GALVAN,galvanlondon.com,"Luxury womenswear — eveningwear, occasionwear; silk, sequins, bias-cut; London-based",2012,"London, United Kingdom",N/A,"Ltd — Galvan London Ltd (UK Companies House); Private, co-founded by Sophie Dries, Ruth Chapman, Charlie Jones",~11–50,Not disclosed,Galvan London Ltd,"DTC online; wholesale (Net-A-Porter, Ssense, Farfetch, Matches); global celebrity following",Not publicly disclosed (est. ~$5–15M),galvanlondon.com; Companies House UK; ZoomInfo; LinkedIn
Gigi Burris,gigiburris.com,"Luxury millinery — handcrafted hats, headpieces; bridal & occasion wear; NYC atelier",2008,"New York, NY, USA",N/A,"Private company (Gigi Burris LLC), founded by Gigi Burris Millinery",~2–10,Not disclosed,Gigi Burris LLC,"NYC atelier; wholesale (Bergdorf Goodman, Shopbop, Net-A-Porter); custom bridal commissions worldwide",Not publicly disclosed (est. <$3M),gigiburris.com; ZoomInfo; LinkedIn; CFDA
God's True Cashmere,godstruecashmere.com,"Luxury cashmere — hand-dyed, limited-edition premium knitwear; artisanal Scottish/Italian production",2012,"London, United Kingdom / New York, NY, USA",N/A,"Private Ltd company, founded by David Mason",~5–20,Not disclosed,God's True Cashmere Ltd,"DTC + select wholesale (Harrods, Net-A-Porter, specialty retailers); ships globally",Not publicly disclosed (est. ~$2–8M),godstruecashmere.com; ZoomInfo; LinkedIn
Hunting Season,hunting-season.com,"Luxury handbags & accessories — exotic skins, woven leather, elegant minimalism; NYC-based",2011,"New York, NY, USA",N/A,"Private company (Hunting Season LLC), co-founded by Valentina Castro and Renata Castro",~5–20,Not disclosed,Hunting Season LLC,"DTC + wholesale (Bergdorf, Net-A-Porter, Shopbop)",Not publicly disclosed (est. ~$2–10M),hunting-season.com; ZoomInfo; LinkedIn; CFDA
Jacques Marie Mage,jacquesmariemage.com,"Luxury eyewear — hand-finished acetate frames; ultra-limited editions; theatrical, collectible sunglasses & optical",2014,"Los Angeles, California, USA",N/A,"Private company (Jacques Marie Mage LLC), founded by Jerome Mage",~20–50,Not disclosed,Jacques Marie Mage LLC,LA HQ; 100+ select optical boutiques worldwide; strong secondary market resales; celebrity following,Not publicly disclosed (est. ~$10–30M),jacquesmariemage.com; ZoomInfo; LinkedIn; Highsnobiety
Jacquie Aiche,jacquieaiche.com,"Fine jewelry — body chains, boho-luxe, gold, diamonds, turquoise; LA-based",2010,"Los Angeles, California, USA",N/A,"Private company, founded by Jacquie Aiche",~11–50,Not disclosed,Jacquie Aiche LLC,"LA flagship + online; wholesale (Net-A-Porter, Barneys historical, Fred Segal); celebrity clientele (Beyoncé, Kate Moss)",Not publicly disclosed (est. ~$5–20M),jacquieaiche.com; ZoomInfo; LinkedIn; Vogue
James Perse,jamesperse.com,"Luxury casual lifestyle — supima cotton jersey, clean minimalism; menswear, womenswear, home",1994,"Los Angeles, California, USA (HQ + flagship stores)",N/A,"Private company (James Perse Enterprises Inc.), founder James Perse",~200–500,Not disclosed,James Perse Enterprises Inc.,"30+ flagship stores across USA (LA, NYC, Hawaii, Malibu) + Japan, Hong Kong; DTC + wholesale (Nordstrom, Saks)",Not publicly disclosed (est. ~$50–150M),jamesperse.com; ZoomInfo; LinkedIn; BoF
Jennifer Chamandi,jenniferchamandi.com,"Luxury women's shoes — strappy heels, mules, sculptural leather footwear; London/Lebanese aesthetic",2016,"London, United Kingdom",N/A,"Ltd — Jennifer Chamandi Ltd (UK); Private, founded by Jennifer Chamandi",~5–20,Not disclosed,Jennifer Chamandi Ltd (UK),"DTC online; wholesale (Harrods, Bergdorf, Net-A-Porter, Moda Operandi)",Not publicly disclosed (est. ~$2–8M),jenniferchamandi.com; Companies House UK; ZoomInfo; LinkedIn
Jennifer Meyer,jennifermeyer.com,"Fine jewelry — delicate, nature-inspired (leaves, flowers), 18k gold, diamonds; celebrity-favourite demi-fine",2005,"Los Angeles, California, USA",N/A,"Private company (Jennifer Meyer Inc.), founded by Jennifer Meyer",~11–50,Not disclosed,Jennifer Meyer Inc.,"LA boutique; wholesale (Barneys historical, Net-A-Porter, Goop, Shopbop); global DTC; extensive celebrity clientele",Not publicly disclosed (est. ~$10–30M),jennifermeyer.com; ZoomInfo; LinkedIn; WWD
Judith Leiber Couture,judithleiber.com,"Luxury evening bags & minaudières — crystal-encrusted novelty clutches (food, animals, objects); iconic American accessories house",1963 (founded by Judith Leiber); 2016 relaunch as 'Judith Leiber Couture' post-acquisition,"New York, NY, USA",N/A,Private company — acquired by LIM Group in 2016; Judith Leiber Couture LLC,~50–100,Not disclosed,Judith Leiber LLC / Judith Leiber Couture LLC (under LIM Group),"NYC flagship (Madison Ave); wholesale globally (Neiman Marcus, Harrods, Saks, Net-A-Porter); museum collections (Smithsonian)",Not publicly disclosed (est. ~$20–50M),judithleiber.com; ZoomInfo; LinkedIn; Wikipedia; BoF
