Brand Name,brandUrl,Scraped_Title,Scraped_Description,Emails,Social_Links
CHARO RUIZ,charoruiz.com,CHARO RUIZ IBIZA | Tienda Online Oficial | Nueva Colección,Libertad y feminidad en cada diseño desde 1989. Piezas diseñadas y confeccionadas en la isla con tejidos naturales y acabados que realzan la belleza de la mujer.,,https://www.linkedin.com/company/charo-ruiz/; https://facebook.com/CharoRuizModaIbiza/; https://www.instagram.com/charoruizibiza
Cabana Magazine,cabanamagazine.com,Cabana Magazine,"Cabana Magazine is a biannual interiors and decorative arts publication, exploring the intimate relationship each person has with interiors. Not only grand rooms but those unnoticed intricacies that make a room feel unique and personal. Shop the Casa Cabana homewares collection inspired by the pages of the magazine.",,https://www.facebook.com/CabanaMagazineLtd/; https://www.instagram.com/cabanamagazine/
Calle Del Mar LLC,calledelmar.com,Calle Del Mar,"Non-seasonal knitwear designed & made in Los Angeles, California.",info@calledelmar.us,https://instagram.com/calledelmar
Carolina Bucci,carolinabucci.com,Carolina Bucci | Florentine Fine Jewellery,"Carolina Bucci makes inspiring, distinctive jewellery designed with a reverence for craftsmanship and executed with elegance. Established by fourth generation fine jeweller, Carolina Bucci, our brand and its creations are interwoven with the personal stories of our designer as well as the rich heritage of her family.",,https://www.instagram.com/carolina_bucci/; https://www.facebook.com/CarolinaBucciUK/
Christian Siriano,christiansiriano.com,Christian Siriano,"Christian Siriano, Luxury womenswear brand. Designer clothing, accessories, and gift items.",,
Christopher Esber,christopheresber.com,Christopher Esber | Official Website,"Australian designer Christopher Esber established his eponymous brand in 2010. Renowned for precision tailoring and a forward thinking, innovative approach, Christopher Esber combines elements of menswear with feminine silhouettes and delicate fabrics to create beautiful; dresses, shirts, pants, suiting and knitwear.",,https://www.pinterest.com.au/chrisesber; https://www.instagram.com/christopher_esber; https://www.facebook.com/CHRISTOPHERESBER01
Christopher John Rogers,christopherjohnrogers.com,Christopher John Rogers,Christopher John Rogers,,https://www.instagram.com/christopherjohnrogers/
Clio Peppiatt,cliopeppiatt.co.uk,Clio Peppiatt,"Focusing on hand-beading and hand-embroidery, stemming from the designers original drawings, Clio Peppiatt empowers a new generation of women whilst supporting the communities that rely on these skills.",,https://www.tiktok.com/@cliopeppiatt?lang=en; https://instagram.com/cliopeppiatt
Comme Si,commesi.com,"Comme Si, made in Italy","Refined socks and loungewear that are both functional and beautiful. Made in Italy from the highest quality natural materials like cashmere, silk, merino wool, cotton. Indulge in simple pleasures.",,https://instagram.com/commesi; http://pinterest.com/commesi/
Cortanaeshop,cortana.es,Cortana,"Colecciones en tejidos naturales de máxima calidad, producción artesanal en España. Slow fashion desde 2001.",,https://es.pinterest.com/esCortana; https://www.instagram.com/cortana_official/; https://www.tiktok.com/@cortana_official
Diotima,diotima.world,Diotima,"An expression of sensual form, craftsmanship, and elevated luxury. Discover ready-to-wear from Diotima. Global shipping and returns.",,
Doen,shopdoen.com,DÔEN | Official Site,Discover the world of DÔEN. Thoughtful and timeless collections inspired by nostalgia for California of decades past.,,
DÉHANCHE,dehanche.com,Déhanche,"Déhanche creates sculptural Italian belts inspired by art and movement, redefining the waist through form, balance, and timeless craftsmanship.",,
ESCVDO,escvdo.com,ESCVDO,"ESCVDO is a sustainable luxury brand approaching contemporary design through the exploration of Peru's textile heritage, excellence in craftsmanship and a special care for quality. Our collections are both sourced and made locally.",,https://www.instagram.com/escvdo/
Edition,ceciliebahnsen.com,Cecilie Bahnsen,"Cecilie Bahnsen operates at the intersection of couture and ready-to-wear to create luxury clothing with a relaxed, timeless style.",,https://www.facebook.com/Cecilie-Bahnsen-104948817856810; https://www.instagram.com/ceciliebahnsen/
El Sol,faithfullthebrand.com,"Faithfull The Brand - Official Website
 – Faithfull the Brand","Evoking a sense of summer in your every day. Explore our range of thoughtfully produced designs with free, fast shipping on orders over $300. B Corp Certified.",,http://www.pinterest.com/faithfullbrand/; https://www.instagram.com/faithfullthebrand/?hl=en; https://www.facebook.com/faithfullthebrand; https://www.tiktok.com/@faithfullthebrand
Emme Parsons,emmeparsons.com,Emme Parsons,"Established in 2017, Emme Parsons is an American coastal brand grounded in European historicism. Known for its ultra-light interpretations of classic silhouettes each collection strives to create versatile, enduring pieces.",,https://www.instagram.com/emmeparsons
FFORME,fforme.com,FFORME: Official Website & Online Store,"Discover FFORME, an American luxury designer brand. Shop high-quality, timeless & meticulously crafted clothing from our women's essential collection.",concierge@fforme.com,https://www.instagram.com/fforme/?hl=en
Faberge,faberge.com,"Fabergé Official Website | Luxury Jewellery & Iconic Fabergé Eggs
 | Fabergé","Explore Fabergé’s timeless collection of fine jewellery and iconic Fabergé eggs. Discover craftsmanship, elegance, and unique designs, perfect for every special occasion.",,https://www.instagram.com/officialfaberge/; https://www.facebook.com/OfficialFaberge; https://www.pinterest.com/faberge/; https://www.tiktok.com/@officialfaberge
FoundRae,foundrae.com,"Gold Medallions, Chains, Necklaces & Fine Jewelry | FoundRae","FoundRae embodies a unique blend of self-discovery and personal expression through symbolic fine jewelry and modern heirlooms. Enjoy Free 2-Day Shipping for all Domestic Orders Over $1,000.",,https://www.facebook.com/FoundRae/; https://www.instagram.com/foundrae/; https://www.linkedin.com/company/foundrae/jobs/
GABRIELA HEARST,gabrielahearst.com,Gabriela Hearst | Timeless Craftsmanship & Sustainable Style,"Discover Gabriela Hearst’s sustainable luxury fashion, from meticulously crafted dresses and shoes to accessories, and the home of the iconic Nina Bag.",,https://www.instagram.com/gabrielahearst/
GALVAN,galvanlondon.com,Luxury Designer Ready to Wear & Bridal for Women | Galvan London,"Designed by women for women, Galvan creates a new kind of occasion wear. Discover luxury designer clothing & bridal styles. Express delivery available.",customerservice@galvanlondon.com; 1730customerservice@galvanlondon.com,https://www.instagram.com/galvanlondon/; https://www.facebook.com/galvanlondon/
Gigi Burris,gigiburris.com,Gigi Burris Millinery – GIGI BURRIS,Luxury hats and Hair Accessories. Gigi Burris creates accessories by hand in New York City,,http://www.instagram.com/gigiburris; https://www.instagram.com/gigiburris; https://www.facebook.com/Gigiburrismillinery/; https://www.pinterest.com/GIGIBURRISMILLINERY
God’s True Cashmere,godstruecashmere.com,God's True Cashmere - 100% Cashmere Shirts Made in Italy,God's True Cashmere,,https://www.instagram.com/godstruecashmere/
Hunting Season,hunting-season.com,Hunting Season,The Spirit of Discovery,,https://www.instagram.com/huntingseasonnyc; https://www.facebook.com/huntingseasonnyc/
Jacques Marie Mage,jacquesmariemage.com,Jacques Marie Mage,"Handcrafted eyewear, jewelry, & accessories of impeccable workmanship & sumptuous swagger.",,https://www.instagram.com/jacquesmariemage/?hl=en
Jacquie Aiche,jacquieaiche.com,Jacquie Aiche - Handmade Fine Jewelry | Online Jewelry Store,Fine jewelry by Jacquie Aiche! Our online store offers one-of-a-kind fine jewelry handmade in Los Angeles. Find the perfect piece of jewelry for yourself. Click here.,,https://www.instagram.com/jacquieaiche/
James Perse,jamesperse.com,James Perse Los Angeles,James Perse. Women. Women; Apparel. Apparel Main Menu; New Arrivals · At Home Essentials · Classics · Dresses/Jumpsuits · Sweaters/Cashmere · T-shirts,,
Jennifer Chamandi,jenniferchamandi.com,Jennifer Chamandi - British Luxury Footwear,"Made in Italy. Available at Browns, Net-A-Porter, Harrods, Neiman Marcus, Bergdorf Goodman and Level Shoes. Jennifer Chamandi’s footwear collection is designed with precision.",,https://facebook.com; https://www.instagram.com/jenniferchamandi/
Jennifer Meyer,jennifermeyer.com,Jennifer Meyer Jewelry for Women,"Shop the celebrity adored collection of 18-karat gold, fine jewelry made in Los Angeles. Jewelry designed to be layered, loved and worn everyday. Celebrate milestones with timeless jewelry in symbols of love and luck. The perfect gift for yourself or someone you love. Free 3-day shipping on orders $250+",,https://www.facebook.com/JenniferMeyerJewelry/
Judith Leiber Couture,judithleiber.com,Women’s Designer Evening Handbags & Clutches | Judith Leiber,"Shop the latest Judith Leiber designer evening clutch bags and purses. Explore new arrivals, web exclusives, gifts, & more. Enjoy free shipping.",,https://twitter.com/JudithLeiber; https://ro.pinterest.com/judithleiber/; https://www.instagram.com/judithleiberny; https://www.facebook.com/judithleiber
Juliette,shopjulietta.com,Julietta,"Julietta is a jewelry and accessories brand reimagining vintage elegance with a modern edge, designed for the ultimate fashion crowd.",,https://www.instagram.com/shopjulietta; https://www.tiktok.com/@juliettanewyork
Kall Meyer,kallmeyer.nyc,KALLMEYER,KALLMEYER,madison@kallmeyer.nycFor; shop@kallmeyer.nyc; orchard@kallmeyer.nycfor,https://www.instagram.com/kallmeyerofficial/?hl=en; https://www.facebook.com/KallmeyerOfficial/
Kika Vargas,kikavargas.com,Kika Vargas | Official Online Store,Discover the world of Kika Vargas. A women's ready-to-wear brand that celebrates individuality through architectural silhouettes and hand-drawn prints.,info@kikavargas.com,https://www.instagram.com/kikavargas_/; https://pinterest.com/KIKAVARGAS__/_saved/
Laura Lombardi,lauralombardi.com,lauralombardi,lauralombardi,shop@lauralombardi.com,https://www.instagram.com/lauralombardi/
Les Tien,lestien.com,"LES TIEN | Luxury Sportswear For Him and For Her | Made in USA
      
      
       – L E S  T I E N","Les Tien crafts luxurious leisure staples out of its factory in downtown Los Angeles. All fabrics are treated in house before they are cut, sewn and garment-dyed—a production method that yields a soft hand feel and a coveted level of lived-in comfort.",Us1-323-888-8838support@lestien.com,https://www.facebook.com/lestienisyours/; https://www.instagram.com/_lestien
Lie Studio,lie-studio.com,LIÉ STUDIO,Welcome to LIÉ STUDIO. Discover our fashion-focused selection of timeless jewellery with a casual elegance to complete any outfit. Made for the discerning woman who believes that less is more.,,https://www.facebook.com/p/liestudio_-100076401367159/?locale=da_DK; https://www.instagram.com/liestudio_/?hl=en; https://dk.pinterest.com/liestudio_/
Lisa Yang,us.lisa-yang.com,LISA YANG Official Website | A Complete Cashmere Wardrobe,"LISA YANG is a Stockholm label dedicated to cashmere. Led by artisanal craft and technical innovation, the collections draw from the ancient cashmere tradition inherited from Inner Mongolia and the understated ease of Scandinavian design. Shop the new arrivals – free shipping on all orders to the US.",customerservice@lisa-yang.com,https://www.instagram.com/lisayangcollection/; https://pinterest.com/lisayangcollection/; https://www.instagram.com/stories/highlights/17921122805788660/; https://www.facebook.com/lisayangcollection/; https://www.linkedin.com/company/lisa-yang/
Lizzie Fortunato,lizziefortunato.com,Lizzie Fortunato - Jewelry and Accessories Handmade in NYC,"Hand-crafted statement jewelry, 14-karat fine jewelry, and accessories handmade in NYC by twin sisters Lizzie and Kathryn Fortunato. We sell artful, luxurious pieces that tell a story and champion intentional production.",,https://www.facebook.com/LFJewels; https://www.pinterest.com/lizziefjewels/; https://www.tiktok.com/@lizziefortunato; https://instagram.com/lfjewels
Loren Stewart,lorenstewart.com,"Loren Stewart
	
	
	
	
	
	– Loren Stewart",Loren Stewart creates classic and nostalgic jewelry with a renewed experimental bite. We are attracted to the properties and possibilities of gold and precious materials.,support@lorenstewart.com,https://www.instagram.com/lorenstewart/; https://instagram.com/lorenstewart; https://www.facebook.com/Loren.Stewart.LA/; https://www.pinterest.com/lorenstewart/
MAISON MAYLE,maisonmayle.com,Maison Mayle,,shop@maisonmayle.com,https://www.instagram.com/maisonmayle/?hl=en
MARRAKSHI LIFE,marrakshilife.com,"Marrakshi Life | Handwoven, to order in our Marrakech Atelier","WE ARE AN ATELIER + BRAND BASED IN MARRAKECH. WORKING EXCLUSIVELY WITH FABRICS HAND-WOVEN BY OUR IN-HOUSE TEAM OF ARTISANS. FOCUSING ON ZERO WASTE, SUSTAINABLE PRACTICES. - GENDER NEUTRAL SLOW FASHION",,https://www.instagram.com/marrakshi.life
Maria McManus,mariamcmanus.com,"Maria Mcmanus
      
      
       – Maria McManus","Maria McManus is a luxury women’s wear collection built on the principles of using less water, less chemicals and creating less waste.",,https://www.instagram.com/maria_mcmanus_/
Marla Aaron,marlaaaron.com,Hardworking Exceptional Jewelry Made in NYC | Marla Aaron,Expect the unexpected with Marla Aaron's unique and functional luxury jewelry. Discover exceptional jewelry unlike anything you've ever experienced.,,
Marlo Laz,marlolaz.com,Marlo Laz Fine Jewelry,"Marlo Laz Fine Jewelry takes its collectors to distant corners of the globe, creating keepsakes with an opulent edge. All jewels made, with love, in Manhattan.",,https://www.instagram.com/marlolazjewelry/; https://www.facebook.com/Marlolazjewelry
Marta Ferri,shop.martaferri.com,Atelier Marta Ferri – ateliermartaferri,I grew up between photography sets and interior design projects so it comes very natural to play with color and love to dress up. There are times though when I just need to be practical and chic at the same time. Here what I wear when I need to get things done and look great doing it. I hope it will do the same for you,,https://www.instagram.com/martaferrimartaferri/
Martha Calvo,marthacalvo.com,Martha Calvo Jewelry | Handmade in Miami – Joolz by Martha Calvo,"Martha Calvo is part of the must haves that fuse uptown elegance with a downtown edge. Her pieces add the perfect balance of edgy elegance to street chic sophistication with a sprinkle of glam to any accessory that can be worn for any occasion, day or night.",,https://www.facebook.com/joolz.marthacalvo; https://www.instagram.com/marthacalvo/
Mary Katrantzou,marykatrantzou.com,Mary Katrantzou - Official Site | Women's Designer Fashion – marykatrantzou,"Shop exclusive designer womenswear at Mary Katrantzou. Discover the latest collections and explore a world of digital print, embellishment & unique designs.",,https://www.facebook.com/MaryKatrantzou.Official; https://www.instagram.com/marykatrantzou/
Marysia,marysia.com,Marysia - High Fashion Swim and Resort Wear,"Marysia is high fashion swim, bikinis and resort wear for women and children. Designed in LA, the fashion forward collection is stylish and chic.",,https://twitter.com/marysiaswim; http://www.pinterest.com/marysiapics/; http://instagram.com/marysia/; https://www.facebook.com/marysiaswim
Matteo,matteola.com,"Matteo: Los Angeles Home Textiles
        – MATTEO","Modern home textiles cut, sewn & garment-dyed in Los Angeles since 1996. Bedding, Bath, Table & Apparel.",,https://www.instagram.com/matteolosangeles/; https://www.linkedin.com/company/matteo-textiles/; https://www.facebook.com/matteolosangeles; https://www.pinterest.com/matteolosangeles/
Maygel Coronel,maygelcoronel.com,"Maygel Coronel
    
    
    
      – Maygel Coronel USA","Luxury swimwear designed for women and for life in the sun. BORN IN CARTAGENA, MADE IN COLOMBIA",info@maygelcoronel.com; 0589596info@maygelcoronel.com,https://www.instagram.com/maygelcoronelofficial
Melissa Joy Manning,melissajoymanning.com,"Melissa Joy Manning
    
    
    
      – Melissa Joy Manning Inc.","Ethically Made. Radically Refined. Melissa Joy Manning creates handmade heirloom-quality earrings, rings, necklaces, and bridal jewelry in their Certified Green California studio to make a positive impact on the world.",customercare@mjmmetal.com,https://facebook.com/melissajoymanning; https://www.pinterest.com/mjmjewelry/; https://twitter.com/MJMjewelry; https://instagram.com/melissajoymanning
Mizuki,mizukijewels.com,MIZUKI | Designer Fine Jewelry,"Beautifully Modern – Jewelry designer Mizuki blends sophistication with a feminine yet bold edginess, infusing fashion into fine jewelry.",,https://www.instagram.com/mizukijewels/; https://www.facebook.com/mizukijewels
Mothers Day,aguabyaguabendita.com,"AGUA by Agua Bendita INT | Online Shopping | Swimwear & Ready-to-wear
        
        
        
            – AGUA by Agua Bendita International","Discover Agua by Agua Bendita finest in swimwear, ready-to-wear & accessories handcrafted for sophisticated and timeless women.",Uscare@aguabyaguabendita.comSize; care@aguabyaguabendita.com,https://www.facebook.com/aguabyaguabendita; https://www.instagram.com/aguabyaguabendita
Nili Lotan,nililotan.com,Nili Lotan | Luxury Designer Japanese Denim,"Discover designer clothing for men and women crafted in luxurious Japanese denim. Nili Lotan's design philosophy is sophisticated, timeless and trendless. Made in New York City.",,https://www.instagram.com/nililotan; https://www.facebook.com/nililotan/
Olympia Le-Tan,olympialetan.com,"Olympia Le-Tan®️ (OLT) – Official Website
    
    
    
      – Olympia Le-Tan® (OLT)","Olympia Le-Tan®️ (OLT) is a Parisian fashion house that celebrates art, culture, and exceptional craftsmanship, offering unique and timeless pieces designed to inspire and captivate.",,https://www.instagram.com/p/DN5wKaVjrwz/; https://www.instagram.com/reel/DOa2iXEDOkq/; https://www.instagram.com/p/DOLWPnHDu8p/; https://www.tiktok.com/@olympialetanofficial; https://www.instagram.com/p/DOdnN_Kk9OD/; https://www.instagram.com/p/DOYbbpiDITd/; https://www.linkedin.com/company/olympia-le-tan; https://www.instagram.com/p/DOTKCOCDHAF/; https://www.instagram.com/p/DOv15neE7oD/; https://www.instagram.com/olympialetanofficial/; https://www.facebook.com/OlympialetanParis; https://www.instagram.com/p/DOvXrirkxmi/; https://www.instagram.com/p/DOgXTpvCSRr/
Ortovox,aztechmountain.com,Aztech Mountain,"Men's and women's technically appointed performance sportswear rooted in skiing. Aztech is distinguished by the unexpected, to keep you feeling exceptional in every environment.",,https://www.facebook.com/aztechmountain; https://www.instagram.com/aztechmountain/
Oseree,oseree.com,Oséree Swimwear,Made in Italy: the swimwear label oséree celebrates quality and tradition with a modern approach. The pieces are carved out for the women of a new era.,,https://www.instagram.com/osereeswimwear; https://www.tiktok.com/@osereeswimwear; https://www.facebook.com/osereeswimwear
PF24,alexperry.com.au,Alex Perry | Official Store,New season arrivals available now. Explore the latest collections & more.,,https://www.instagram.com/alexperryofficial/
Paris Texas,us.paristexasbrand.com,"Paris Texas: Official Store | Boots, Ankle boots, Mules
 – Paris Texas US",Discover Paris Texas Collection: Parisian elegance meets Texan toughness. Shop online on the Official Store the newest collections.,,https://www.instagram.com/paristexas_it/; https://www.facebook.com/paristexasbrand/
R13,r13.com,R13 Official Site,"R13 cuts against the grain. Luxury denim, women’s clothes, and footwear built with precision, worn with defiance. Free shipping, no fuss.",,https://www.instagram.com/r13/; https://www.facebook.com/r13denim/; https://www.tiktok.com/@r13.new.york; http://pinterest.com/r13denim
Ready to Wear,eliesaab.com,"Shop Ready to Wear Designer Fashion and Luxury Clothing
      
      
       – ELIE SAAB",Shop Ready to Wear Designer Fashion and Luxury Clothing,,https://www.instagram.com/eliesaabworld/; https://www.tiktok.com/@eliesaabworld?is_from_webapp=1&sender_device=pc; https://www.linkedin.com/company/elie-saab
Retrofete,retrofete.com,"RETROFÊTE - Official Online Shop
        
        
        
          – Retrofete",Retrofête is a New York-based high contemporary brand for modern day revelers and fashion ‘It’ girls with renegade style.,,https://www.tiktok.com/@retrofete?lang=en; https://www.pinterest.com/retrofete/; https://www.instagram.com/retrofete/?hl=en; https://www.facebook.com/retrofetebrand/
Robinson Pelham,robinsonpelham.com,"Robinson Pelham | Bold, Versatile, British Fine Jewellery","Robinson Pelham was born out of a mutual desire to create beautiful, timeless pieces that spark joy. More than 25 years later, our bold, colourful and versatile bespoke and ready-to-wear jewellery is still at the forefront of modern British design.",,https://www.instagram.com/robinsonpelham
Rodarte,rodarte.net,"The Official Website of RODARTE
    
    
    
      – Rodarte","The official website of RODARTE. Discover the history of the brand, from fashion and footwear to accessories.",,https://www.facebook.com/OfficialRodarte/; https://www.instagram.com/rodarte/?hl=en
Rosie Assoulin,rosieassoulin.com,"ROSIE ASSOULIN
 – Rosie Assoulin","ROSIE ASSOULIN. Luxury womenswear, made in NYC.",,https://www.instagram.com/rosie_assoulin/
Ruslan Baginskiy,ruslanbaginskiy.com,Ruslan Baginskiy Official Web Store - Hats & Accessories by RB,"Shop the official Ruslan Baginskiy online store for luxury hats, bags and accessories. Secure checkout, authentic pieces, and worldwide delivery - crafted with signature design and premium materials.",,https://www.tiktok.com/@ruslanbaginskiy; https://www.instagram.com/ruslanbaginskiy_hats/; https://www.pinterest.com/ruslanbaginskiy_hats; https://www.pinterest.com/ruslanbaginskiy_hats/
S.S. Daley,ssdaley.com,S.S.DALEY,,,https://uk.pinterest.com/SSDALEY2020/; https://www.instagram.com/ss_daley/; https://www.instagram.com/ss_daley/?hl=en
SASUPHI,sasuphi.com,SA SU PHI,SA SU PHI is a brand dedicated by women to women. Knitwear centric and outerwear driven focused on key stand-alone pieces free to be personally interpreted by the women who wear them. Made of the most exquisite materials and with the best Italian artisanship.,,https://www.instagram.com/sasuphi_official/
SENSI STUDIO,sensistudio.com,Sensi Studio | Luxury Panama Hats | Handmade Handbags,"Shop the Official Website for Sensi Studio. Get your Panama Hats, Ready to Wear & Handbags delivered to your door, we offer Worldwide Shipping.",usinfo@sensistudio.comFor; Saram@sensistudio.comTelefono,https://www.instagram.com/sensistudio; https://www.tiktok.com/@sensistudio; https://www.pinterest.com/sensistudio/; https://www.facebook.com/SensiStudio/
SOPHIE BUHAI,sophiebuhai.com,Sophie Buhai Jewelry | Official Website and Online Store,"Discover Sophie Buhai. A modernist jewelry company based in LA that focuses on timeless, handcrafted, and locally-produced jewelry.",,https://instagram.com/sophiebuhai
STONE AND STRAND,stoneandstrand.com,STONE AND STRAND - Fine Jewelry For Every Little And Big Win,"STONE AND STRAND was created to celebrate wins big and small. We are a female-founded fine jewelry company based in New York City, and offer thoughtfully designed diamond and solid gold jewelry, designed to be worn everyday.",,https://instagram.com/stoneandstrand; https://www.facebook.com/stoneandstrand; https://www.pinterest.com/stoneandstrand; https://www.instagram.com/stoneandstrand
