id,category,creation_date,adresse_siege_social,rating,type_entreprise,nb_employees,nb_clients,nb_societies,nb_societies_interna...,sales
Borgo de Nor,"Discover Borgo de Nor's collection of designer women's ready to wear, day to night silk dresses, printed dresses, tops, skirts, and sweaters",,,,,,,,,
Brent Neale,"Nostalgic and fantastical, Brent Neale jewelry is rooted in the belief that true luxury is unique, surprising and fun. Explore the Brent Neale store.",,,,LLC,,,,,
By Pariah,"By Pariah - Fine jewellery made from 100% certified recycled metals and natural, untreated diamonds and gemstones. Designed in London, featuring signature hand-carved semi precious and diamond ring st",,,,,,,,,
CARLO MORETTI,"A chic contemporary fashion, design and lifestyle collection for women and men that infuses Positano’s dolce vita with Mediterranean romance.",,84017 Positano,,Inc,,,,,
CDLP,CDLP is a Swedish design house of men's and women's luxury essentials developed with innovation and consciously constructed in Europe using future-oriented materials.,,,,,,,,,
CHARO RUIZ,Libertad y feminidad en cada diseño desde 1989. Piezas diseñadas y confeccionadas en la isla con tejidos naturales y acabados que realzan la belleza de la mujer.,,,,,,,,,
Cabana Magazine,"Cabana Magazine is a biannual interiors and decorative arts publication, exploring the intimate relationship each person has with interiors. Not only grand rooms but those unnoticed intricacies that m",,20154 Milano,,Inc,,,,,
Calle Del Mar LLC,"Non-seasonal knitwear designed & made in Los Angeles, California.",,90039 Subscribe,,Inc,,,,,
Carolina Bucci,"Carolina Bucci makes inspiring, distinctive jewellery designed with a reverence for craftsmanship and executed with elegance. Established by fourth generation fine jeweller, Carolina Bucci, our brand ",,50123 Firenze,,Inc,,,,,
Christian Siriano,"Christian Siriano, Luxury womenswear brand. Designer clothing, accessories, and gift items.",,,,LLC,,,,,
Christopher Esber,"Australian designer Christopher Esber established his eponymous brand in 2010. Renowned for precision tailoring and a forward thinking, innovative approach, Christopher Esber combines elements of mens",,,,SA,,,,,
Christopher John Rogers,Christopher John Rogers,,,,LLC,,,,,
Clio Peppiatt,"Focusing on hand-beading and hand-embroidery, stemming from the designers original drawings, Clio Peppiatt empowers a new generation of women whilst supporting the communities that rely on these skill",,,,Ltd,,,,,
Comme Si,"Refined socks and loungewear that are both functional and beautiful. Made in Italy from the highest quality natural materials like cashmere, silk, merino wool, cotton. Indulge in simple pleasures.",,,,,,,,,
Cortanaeshop,"Colecciones en tejidos naturales de máxima calidad, producción artesanal en España. Slow fashion desde 2001.",,08032 Barcelona,,,,,,,
Diotima,"An expression of sensual form, craftsmanship, and elevated luxury. Discover ready-to-wear from Diotima. Global shipping and returns.",,10065 Suite,,Inc,,,,,
Doen,Discover the world of DÔEN. Thoughtful and timeless collections inspired by nostalgia for California of decades past.,,,,LLC,,,,,
DÉHANCHE,"Déhanche creates sculptural Italian belts inspired by art and movement, redefining the waist through form, balance, and timeless craftsmanship.",,,,,,,,,
ESCVDO,"ESCVDO is a sustainable luxury brand approaching contemporary design through the exploration of Peru's textile heritage, excellence in craftsmanship and a special care for quality. Our collections are",,,,,,,,,
Edition,"Cecilie Bahnsen operates at the intersection of couture and ready-to-wear to create luxury clothing with a relaxed, timeless style.",,,,,,,,,
El Sol,"Evoking a sense of summer in your every day. Explore our range of thoughtfully produced designs with free, fast shipping on orders over $300. B Corp Certified.",,,,,,,,,
Emme Parsons,"Established in 2017, Emme Parsons is an American coastal brand grounded in European historicism. Known for its ultra-light interpretations of classic silhouettes each collection strives to create vers",,27922 Los,,Inc,,,,,
FFORME,"Discover FFORME, an American luxury designer brand. Shop high-quality, timeless & meticulously crafted clothing from our women's essential collection.",,10012 Subscribe,,LLC,,,,,
Faberge,"Explore Fabergé’s timeless collection of fine jewellery and iconic Fabergé eggs. Discover craftsmanship, elegance, and unique designs, perfect for every special occasion.",,,,Inc,,,,,
FoundRae,"FoundRae embodies a unique blend of self-discovery and personal expression through symbolic fine jewelry and modern heirlooms. Enjoy Free 2-Day Shipping for all Domestic Orders Over $1,000.",,10013 Attn,,LLC,,,,,
GABRIELA HEARST,"Discover Gabriela Hearst’s sustainable luxury fashion, from meticulously crafted dresses and shoes to accessories, and the home of the iconic Nina Bag.",,,,LLC,,,,,
GALVAN,"Designed by women for women, Galvan creates a new kind of occasion wear. Discover luxury designer clothing & bridal styles. Express delivery available.",,,,,,,,,
Gigi Burris,Luxury hats and Hair Accessories. Gigi Burris creates accessories by hand in New York City,,10013 Tuesday,,Inc,,,,,
God’s True Cashmere,God's True Cashmere,,90049 We,,LLC,,,,,
Hunting Season,The Spirit of Discovery,,,,LLC,,,,,
Jacques Marie Mage,"Handcrafted eyewear, jewelry, & accessories of impeccable workmanship & sumptuous swagger.",,90038 By,,Inc,,,,,
Jacquie Aiche,Fine jewelry by Jacquie Aiche! Our online store offers one-of-a-kind fine jewelry handmade in Los Angeles. Find the perfect piece of jewelry for yourself. Click here.,,,,Inc,,,,,
James Perse,James Perse. Women. Women; Apparel. Apparel Main Menu; New Arrivals · At Home Essentials · Classics · Dresses/Jumpsuits · Sweaters/Cashmere · T-shirts,,90242 To,,LLC,,,,,
Jennifer Chamandi,"Made in Italy. Available at Browns, Net-A-Porter, Harrods, Neiman Marcus, Bergdorf Goodman and Level Shoes. Jennifer Chamandi’s footwear collection is designed with precision.",,,,Inc,,,,,
Jennifer Meyer,"Shop the celebrity adored collection of 18-karat gold, fine jewelry made in Los Angeles. Jewelry designed to be layered, loved and worn everyday. Celebrate milestones with timeless jewelry in symbols ",,90069 SECTION,,Inc,,,,,
Judith Leiber Couture,"Shop the latest Judith Leiber designer evening clutch bags and purses. Explore new arrivals, web exclusives, gifts, & more. Enjoy free shipping.",,,,,,,,,
Juliette,"Julietta is a jewelry and accessories brand reimagining vintage elegance with a modern edge, designed for the ultimate fashion crowd.",,,,,,,,,
Kall Meyer,KALLMEYER,,,,SA,,,,,
Kika Vargas,Discover the world of Kika Vargas. A women's ready-to-wear brand that celebrates individuality through architectural silhouettes and hand-drawn prints.,,,,LLC,,,,,
Laura Lombardi,lauralombardi,,,,Inc,,,,,
Les Tien,"Les Tien crafts luxurious leisure staples out of its factory in downtown Los Angeles. All fabrics are treated in house before they are cut, sewn and garment-dyed—a production method that yields a soft",,90040 Join,,,,,,,
Lie Studio,Welcome to LIÉ STUDIO. Discover our fashion-focused selection of timeless jewellery with a casual elegance to complete any outfit. Made for the discerning woman who believes that less is more.,,,,,,,,,
Lisa Yang,"LISA YANG is a Stockholm label dedicated to cashmere. Led by artisanal craft and technical innovation, the collections draw from the ancient cashmere tradition inherited from Inner Mongolia and the un",,,,Ltd,,,,,
Lizzie Fortunato,"Hand-crafted statement jewelry, 14-karat fine jewelry, and accessories handmade in NYC by twin sisters Lizzie and Kathryn Fortunato. We sell artful, luxurious pieces that tell a story and champion int",,,,,,,,,
Loren Stewart,Loren Stewart creates classic and nostalgic jewelry with a renewed experimental bite. We are attracted to the properties and possibilities of gold and precious materials.,,90041 Bag,,Inc,,,,,
MAISON MAYLE,,,,,,,,,,
MARRAKSHI LIFE,"WE ARE AN ATELIER + BRAND BASED IN MARRAKECH. WORKING EXCLUSIVELY WITH FABRICS HAND-WOVEN BY OUR IN-HOUSE TEAM OF ARTISANS. FOCUSING ON ZERO WASTE, SUSTAINABLE PRACTICES. - GENDER NEUTRAL SLOW FASHION",,40110 Marrakech,,Inc,,,,,
Maria McManus,"Maria McManus is a luxury women’s wear collection built on the principles of using less water, less chemicals and creating less waste.",,10012 Attn,,LLC,,,,,
Marla Aaron,Expect the unexpected with Marla Aaron's unique and functional luxury jewelry. Discover exceptional jewelry unlike anything you've ever experienced.,,,,Inc,,,,,
Marlo Laz,"Marlo Laz Fine Jewelry takes its collectors to distant corners of the globe, creating keepsakes with an opulent edge. All jewels made, with love, in Manhattan.",,10021 Mon,,Inc,,,,,
Marta Ferri,I grew up between photography sets and interior design projects so it comes very natural to play with color and love to dress up. There are times though when I just need to be practical and chic at th,,,,Inc,,,,,
Martha Calvo,Martha Calvo is part of the must haves that fuse uptown elegance with a downtown edge. Her pieces add the perfect balance of edgy elegance to street chic sophistication with a sprinkle of glam to any ,,,,,,,,,
Mary Katrantzou,"Shop exclusive designer womenswear at Mary Katrantzou. Discover the latest collections and explore a world of digital print, embellishment & unique designs.",,,,,,,,,
Marysia,"Marysia is high fashion swim, bikinis and resort wear for women and children. Designed in LA, the fashion forward collection is stylish and chic.",,,,,,,,,
Matteo,"Modern home textiles cut, sewn & garment-dyed in Los Angeles since 1996. Bedding, Bath, Table & Apparel.",,90033 PERMITTED,,LLC,,,,,
Maygel Coronel,"Luxury swimwear designed for women and for life in the sun. BORN IN CARTAGENA, MADE IN COLOMBIA",,,,SAS,,,,,
Melissa Joy Manning,"Ethically Made. Radically Refined. Melissa Joy Manning creates handmade heirloom-quality earrings, rings, necklaces, and bridal jewelry in their Certified Green California studio to make a positive im",,,,Inc,,,,,
Mizuki,"Beautifully Modern – Jewelry designer Mizuki blends sophistication with a feminine yet bold edginess, infusing fashion into fine jewelry.",,,,,,,,,
Mothers Day,"Discover Agua by Agua Bendita finest in swimwear, ready-to-wear & accessories handcrafted for sophisticated and timeless women.",,,,SAS,,,,,
Nili Lotan,"Discover designer clothing for men and women crafted in luxurious Japanese denim. Nili Lotan's design philosophy is sophisticated, timeless and trendless. Made in New York City.",,,,LLC,,,,,
Olympia Le-Tan,"Olympia Le-Tan®️ (OLT) is a Parisian fashion house that celebrates art, culture, and exceptional craftsmanship, offering unique and timeless pieces designed to inspire and captivate.",,,,SAS,,,,,
Ortovox,"Men's and women's technically appointed performance sportswear rooted in skiing. Aztech is distinguished by the unexpected, to keep you feeling exceptional in every environment.",,10013 Do,,LLC,,,,,
Oseree,Made in Italy: the swimwear label oséree celebrates quality and tradition with a modern approach. The pieces are carved out for the women of a new era.,,,,,,,,,
PF24,New season arrivals available now. Explore the latest collections & more.,,,,,,,,,
Paris Texas,Discover Paris Texas Collection: Parisian elegance meets Texan toughness. Shop online on the Official Store the newest collections.,,20126 Milan,,,,,,,
R13,"R13 cuts against the grain. Luxury denim, women’s clothes, and footwear built with precision, worn with defiance. Free shipping, no fuss.",,10013 OPT-IN,,Inc,,,,,
Ready to Wear,Shop Ready to Wear Designer Fashion and Luxury Clothing,,,,,,,,,
Retrofete,Retrofête is a New York-based high contemporary brand for modern day revelers and fashion ‘It’ girls with renegade style.,,10012 COMPANY,,Inc,,,,,
Robinson Pelham,"Robinson Pelham was born out of a mutual desire to create beautiful, timeless pieces that spark joy. More than 25 years later, our bold, colourful and versatile bespoke and ready-to-wear jewellery is ",,,,,,,,,
Rodarte,"The official website of RODARTE. Discover the history of the brand, from fashion and footwear to accessories.",,91115 Newsletter,,LLC,,,,,
Rosie Assoulin,"ROSIE ASSOULIN. Luxury womenswear, made in NYC.",,,,LLC,,,,,
Ruslan Baginskiy,"Shop the official Ruslan Baginskiy online store for luxury hats, bags and accessories. Secure checkout, authentic pieces, and worldwide delivery - crafted with signature design and premium materials.",,,,,,,,,
S.S. Daley,,,,,,,,,,
SASUPHI,SA SU PHI is a brand dedicated by women to women. Knitwear centric and outerwear driven focused on key stand-alone pieces free to be personally interpreted by the women who wear them. Made of the most,,20121 Italy,,SA,,,,,
SENSI STUDIO,"Shop the Official Website for Sensi Studio. Get your Panama Hats, Ready to Wear & Handbags delivered to your door, we offer Worldwide Shipping.",,,,,,,,,
SOPHIE BUHAI,"Discover Sophie Buhai. A modernist jewelry company based in LA that focuses on timeless, handcrafted, and locally-produced jewelry.",,,,LLC,,,,,
STONE AND STRAND,"STONE AND STRAND was created to celebrate wins big and small. We are a female-founded fine jewelry company based in New York City, and offer thoughtfully designed diamond and solid gold jewelry, desig",,,,LLC,,,,,
Sacai,sacai（サカイ）公式オンラインストア。ウィメンズ・メンズの最新コレクションをやオンラインストア限定アイテムも展開。,,,,Inc,,,,,
Serapian,"Precious materials, handmade craftsmanship, and Made in Italy excellence are the distinctive hallmark of Serapian, a symbol of a unique and timeless history.",,20159 Milano,,SpA,,,,,
Shay Furniture,Quality furniture & mattresses at wholesale prices year round. Never pay retail again! Save up to 70% 1000's of products. Try before you buy. Custom ordering too.,,46368 Email,,LLC,,,,,
Simone Rocha,"Explore and shop the Simone Rocha Women's & Men's Ready-to-wear, Shoes and Accessories collections online.",,,,Ltd,,,,,
Skin Worldwide,"Skin creates luxurious loungewear, intimates, lingerie, swimwear and clothing in organic cotton and other super soft natural materials. We spin simplicity into necessity.",,,,,,,,,
Sophie Lou Jacobsen,"Sophie Lou Jacobsen is a French-American designer based in New York City. Her work, ranging from collectible design to tableware and interiors stems from the idea that objects and environments have an",,,,Inc,,,,,
Sporty & Rich,Elevate your everyday with Sporty & Rich. Premium wellness-inspired apparel and accessories. Fast worldwide shipping.,,90046 SECTION,,Inc,,,,,
Suzie Kondi,"Suzie Kondi is an effortless way to approach uniform dressing from day-to-night, head-to-toe. Known for its iconic tracksuits, Suzie Kondi creates elevated separates in velour, terry and cashmere that",,,,LLC,,,,,
Taller Marmo,"Defined by a modern take on occasion wear, the brand employs clean, relaxed cuts in bold and empowering fabrics, where a focus on craftsmanship intertwines with a fun and fabulous spirit. Taller Marmo",,15060 BASALUZZO,,,,,,,
The Elder Statesman,"Discover the latest arrivals from The Elder Statesman— Through a focused lens of modern luxury, The Elder Statesman presents pieces that are clean, crisp, and endlessly wearable. Elevated yet effortle",,87115 Subscribe,,Inc,,,,,
The Frankie Shop,"Latest fashion trends of the season. Limited stock of designer clothes. Shop now our curated collections of coats, tops, bottoms and dresses!",,,,Inc,,,,,
The Row,"The Row est. in 2005 by Ashley Olsen and Mary-Kate Olsen. Timeless ready-to-wear, handbags, clothes and accessories. Shop on the official online store.",,94043 USA,,LLC,,,,,
Tibi,"Founded in 1997 by Amy Smilovic, Tibi is a ready-to-wear collection designed through the lens of Creative Pragmatism based on a chill, modern, and classic sensibility. Each piece communicates along th",,,,LLC,,,,,
Tohum Designs,"Tohum Design creates luxury handcrafted jewelry inspired by nature and culture. Discover handmade unique shell, crystal, evil eye, and gold-plated pieces.",,,,,,,,,
Tove Studio,TOVE is an advanced contemporary womenswear brand that balances modernity and femininity. Explore our world and shop our collections at our online store.,,,,,,,,,
Ulla Johnson,"Discover the world of Ulla Johnson. Ready-to-wear clothing, shoes & accessories in timeless designs. Complimentary US Shipping",,,,,,,,,
Womens,Official home of B Sides Jeans. Shop the collection of American made originals and re-works.,,,,,,,,,
Yves Salomon,Yves Salomon Official Website. Explore the Yves Salomon collections for women and men and discover our know-how.,,75010 PARIS,,Inc,,,,,
arch4,"arch4 is a purveyor of the finest and most sustainable cashmere clothing. Our innovative techniques, combined with the softest textures, make our products truly unique. Explore the largest collection ",,,,Ltd,,,,,
lemlem,"lemlem is an artisan-driven sustainable fashion label for women, men and kids, founded by supermodel Liya Kebede. Designs are made in Africa by local artisans, using handwoven cotton. Sales benefit th",,,,LLC,,,,,
sorellina Jewellry,Sorellina,,,,LLC,,,,,
ÉTERNE,"ÉTERNE was established in 2020 by stylist Chloé Bartoli. Focused on timeless minimal designs and perfectly fitted tailoring, the collections seamlessly fuse simplicity and taste to create the ideal fo",,90703 Email,,LLC,,,,,
